clean_comment,aspect,sentiments,VNESE_text_output
có đủ sợi mì để bạn lựa chọn cọng mì to kiểu phúc kiến màu vàng cọng mì tiều sợi nhỏ cọng mì dẹt hủ tiếu mềm loại nào cũng ngon vì được đặt làm riêng đặc biệt quán còn có món mì làm theo kiểu truyền thống hoàn toàn từ bột gạo ăn mềm mà có một chút dai hoàn toàn không có bột năng nên khi ăn có vị rất đặc trưng mì cá với miếng cá lóc bỏ hết xương trắng phau rất hấp dẫn ăn kèm với chén nước mắm đã pha chút đường có vài cái tóp mỡ được chiên giòn rụm và béo ngậy 30 phần nhé,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'positive', 'neutral']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt và giá tiền món ăn tạm
có lẽ ở đây là nơi mà mình cảm nhận được vị ngon thật sự của bánh cookies đó giờ mình không thích cookies chút nào vì bánh khô và bột ăn cực kì ngán riêng bánh ở đây lại khác thơm xốp và không hề bị khô chút nào cả 100gr là 42k 1 không là 370k mình cũng hay đặt bánh ở đây làm quà thường sẽ đặt hàg trước cho chắc ăn mình không biết mua liền thì có không nha,"['RESTAURANT#GENERAL', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive', 'positive', 'neutral']",nhà hàng nói chung tốt và chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và giá tiền món ăn tạm
có món bao tử cá ăn giòn giòn thật sự đã mồm lắm sừơn non nướng vừa mềm vừa có sụn chấm miếng muối ớt xanh ghém miếng đồ chua nữa là tuyệt vời chỗ này mình chỉ việc lựa nướng để nhân viên lo,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'SERVICE#GENERAL']","['positive', 'positive', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và phục vụ tốt
có nhiều nhân cho các bạn chọn để cuốn kèm là nem chua nem nướng thịt nướng theo mình nem chua ăn không ngon lắm còn 2 loại kia thì ok nè ăn kèm với rau dưa chua xoài bào sợi nước chấm có 2 loại mà nước mắm và mắm nêm nha cả 2 đều ok nè giá cũng khá cao nè 1 phần nhân 25k mà ít lắm dĩa nhỏ tí mà ăn phải gần 20 đĩa bánh mới no mà bánh cuốn mỏng dính nhỏ giá 2k cơ bản khá cao chứ cũng không phải cao lắm đâu mình đi 4 đứa uống trà đá hết 298k nè với giá này nếu 2 người đi ăn thì cũng tầm 150k rồi,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'RESTAURANT#PRICES']","['neutral', 'neutral', 'negative', 'negative']",lựa chọn đồ ăn tạm và chất lượng đồ ăn tạm và giá tiền món ăn tệ và giá cả nhà hàng tệ
có sấu chua chua có nấm thơm thơm sa tế cay cay đâu cốt dừa lồi to tổ bố có 200 cái lồi 200 phải ăn được 3 tháng đếch nào cũng góp mặt 5 lần của cái nhà này,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt và giá tiền món ăn tốt và nhà hàng nói chung tốt
có vẻ hơi nhạt miệng,['FOOD#QUALITY'],['negative'],chất lượng đồ ăn tệ
có vô vàn món ăn vặt mà chỉ thấy bánh trứng cút với crepe mặn kiểu thái là ngon nhất mấy loại kia bình thường tưởng ngon rẻ nhưng mà không rẻ tẹo nào tại mỗi phần 1 ít ăn hoài cũng chỉ lưng bụng quán nhỏ tí tẹo hoặc là ngồi ngoài vỉa hè hoặc trong nhà thì được tầm 3 bàn mà chết với bí ngộp lắm gửi xe miễn phí,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'AMBIENCE#GENERAL', 'RESTAURANT#MISCELLANEOUS']","['positive', 'neutral', 'negative', 'negative', 'positive']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tạm và giá tiền món ăn tệ và không gian tệ và vấn đề khác tốt
cốc to vãi có dừa tươi dừa khô thạch đen thạch dừa nói chung là tá lả các thứ mà có mỗi 7k ạ tính ra thì cũng toàn nguyên liệu rẻ rách thôi cơ mà quen ăn đắt rồi giờ ăn 7k thấy cứ sung sướng vì quán nằm ở đầu ngõ cạnh học viện ngoại giao nhen ngõ bên trái nhen ngõ bên kia là của anh đẹp dzô,"['DRINKS#STYLE&OPTIONS', 'DRINKS#PRICES', 'LOCATION#GENERAL']","['positive', 'positive', 'neutral']",lựa chọn đồ uống tốt và giá tiền đồ uống tốt và địa chỉ tạm
cơm ăn no thịt thì chiên giòn tan cắn tới đâu giòn tan tới đó mà nghe nói đầu bếp là người hàn nữa thiệt là ưng quá đi sẽ tiếp tục ủng hộ,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt và nhà hàng nói chung tốt
cơm ăn rất vừa miệng nhưng thịt gà làm thì mình thấy khá bình thường mà thấy trên mạng khen không ngớt lời không biết có nói quá không nữa chất lượng phục vụ thì ok mình cho điểm 6,"['FOOD#QUALITY', 'SERVICE#GENERAL', 'RESTAURANT#GENERAL']","['neutral', 'positive', 'positive']",chất lượng đồ ăn tạm và phục vụ tốt và nhà hàng nói chung tốt
cơm cháy chiên giòn với chà bông nước me mỡ hành và muối tôm ực ực một món ăn vặt khi ngồi chơi tám dóc hoặc miệt mài làm việc trên máy tính,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['positive', 'positive']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt
cơm chay ở đây khá đa dạng nêm nếm thơm ngon mà giá khá rẻ nên thường đông khách không gian quán không rộng lắm nhưng nhìn chung thì sạch sẽ phục vụ thì niềm nở nên ăn uống cũng thấy thoải mái hơn cơm phần thì giá 20k có thể gọi các món lên để ăn khi đi nhóm đông trung bình 2 bạn chi khoảng 50k hơn nhé credit bryan ta,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'AMBIENCE#GENERAL', 'SERVICE#GENERAL']","['positive', 'positive', 'positive', 'neutral', 'positive']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt và giá tiền món ăn tốt và không gian tạm và phục vụ tốt
cơm chiên bò một trong những đặc sản của quán ba anh em nếu bạn thích kèm thêm trứng thì có thể nói chủ quán chiên thêm phục vụ tận tình lại còn kèm thêm 1 ly nước ngọt miễn phí ăn đồ chiên xào là không sợ ngấy,"['FOOD#STYLE&OPTIONS', 'SERVICE#GENERAL', 'DRINKS#PRICES']","['positive', 'positive', 'positive']",lựa chọn đồ ăn tốt và phục vụ tốt và giá tiền đồ uống tốt
cơm chiên của quán cũng rất xuất sắc ban đầu mình thấy món cơm chiên khá là tầm thường nên không thèm gọi nhưng ngồi ăn thấy bàn nào cũng có 1 đĩa nên tò mò gọi theo cơm chiên rất vừa miệng đặc biệt là trong cơm còn có thêm gạch cua beo béo tạo nên điểm nhấn riêng của món này tính ra giá ở quán này cũng vừa tầm đi 2 người thì 1 bữa hết tầm 300k,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'RESTAURANT#PRICES']","['positive', 'positive', 'neutral']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và giá cả nhà hàng tạm
cơm chiên dương châu cũng là một món không tồi để bạn lựa chọn ở quán cơm gà hồng xương mình là người hoa nên khá kén món này nhưng khi ăn vào mình cảm nhận cơm rang đều thơm cách trang trí cũng đã thu hút mình phần nào ăn lại mê thêm tuy nhiên bạn nên lưu ý quán sẽ tính thêm 7 tổng hóa đơn là tiền phục vụ dù phục vụ chỉ có mỗi nhân viên bưng thức ăn ra và hết,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'RESTAURANT#PRICES']","['positive', 'positive', 'negative']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và giá cả nhà hàng tệ
cơm chiên ngon không tả nổi luôn không tốt đến giờ nhắc lại vẫn còn thèm chiên gia vị rất rất vừa miệng mình kén ăn mà không chê vào đâu được gà satay thì bình thường thui 45k nhé đáng đồng tiền bát gạo khuyên bạn đi ăn nên gọi bánh mì ăn thử vì bánh mì ở đây bao ngon lúc nào cũng ấm gọi là bánh mì tươi vì nó khác bánh mì bình thường lắm ạ tầng trệt có bán đủ loại bánh ngọt nhé,"['FOOD#QUALITY', 'FOOD#PRICES', 'FOOD#STYLE&OPTIONS']","['positive', 'positive', 'positive']",chất lượng đồ ăn tốt và giá tiền món ăn tốt và lựa chọn đồ ăn tốt
cơm cũng được,['FOOD#QUALITY'],['neutral'],chất lượng đồ ăn tạm
cơm cuộn chặt tay lượng cơm vừa ăn không bị ngán nhân nhiều béo ngây và thơm sốt mayonnaise rưới lên cũng nhiều ăn rất đã nói chung là thường xuyên ăn ở đây vì là một tín đồ sushi đồ ăn lại vừa túi tiền và trang trí đẹp gừng ngâm dễ ăn thức ăn vừa miệng phục vụ ok tuy nhiên làm thức ăn hơi chậm dạo này thấy mới làm menu mới nhìn có vẻ chuyên nghiệp và hấp dẫn hơn cái cũ món ăn hình như cũng nhiều hơn,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'RESTAURANT#GENERAL', 'FOOD#PRICES', 'AMBIENCE#GENERAL', 'SERVICE#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive', 'neutral']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt và nhà hàng nói chung tốt và giá tiền món ăn tốt và không gian tốt và phục vụ tạm
cơm dẻo thơm đùi gà được tẩm mật ong nướng sau đó om với sốt chua cay gà được om đủ thời gian thấm gia vị khi đã bắt đầu keo sệt lại sẽ có vị chua chua cay cay ngọt ngọt ăn với cơm nóng thì còn gì bằng nữa giá 40k dĩa bao ngon bao no bao nghiền nha,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'positive', 'positive']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt và giá tiền món ăn tốt
cơm đúng kiểu của nhật có size để chọn cho phù hợp số lượng người ăn phần sốt ngon không ngán,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['positive', 'positive']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt
cơm gà khá thiếu nhiều chất set này cho con gái ăn có khi no chứ con trai ăn chả no nổi thêm nước canh 15k nữa,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'RESTAURANT#PRICES']","['negative', 'negative', 'neutral']",chất lượng đồ ăn tệ và lựa chọn đồ ăn tệ và giá cả nhà hàng tạm
cơm gà công nghệ cao đây nghe danh đã lâu tới mua đông nên đứng chờ khá lâu mới mua được 1 hộp đem gì cơm có sẵn cái khuôn ém dơ nên phần nào cũng đều như nhau cơm chiên bị mỡ rất ngấy ăn cơm xong mà mỡ đầy miệng ngán lắm gà thì nhỏ không được to miếng gà khô và bình thường giá quá mắc cho 1 dĩa cơm như bị,"['SERVICE#GENERAL', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['negative', 'negative', 'negative', 'negative']",phục vụ tệ và chất lượng đồ ăn tệ và lựa chọn đồ ăn tệ và giá tiền món ăn tệ
cơm gà da giòn phần nhỏ có giá là 28k nước chấm cực ngon sẽ ghé lại thường xuyên,"['FOOD#PRICES', 'FOOD#QUALITY', 'RESTAURANT#GENERAL']","['neutral', 'positive', 'positive']",giá tiền món ăn tạm và chất lượng đồ ăn tốt và nhà hàng nói chung tốt
cơm gà hồng xương có tiếng xưa giờ rồi rất là ngon nha ăn trưa hay tối vào đây là ổn đồ chua hơi bị ngon luôn cơm ở đây nấu bằng nước luộc gà thơm phức thịt xá xíu hay ba rọi đều ok canh cải 1 tô chất lừ 2 người ăn tầm 250k giá ở đây hơi mắc kim ly ly,"['FOOD#QUALITY', 'RESTAURANT#GENERAL', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive', 'positive', 'negative']",chất lượng đồ ăn tốt và nhà hàng nói chung tốt và lựa chọn đồ ăn tốt và giá tiền món ăn tệ
cơm gà miếng ăn cũng được nhưng mà với người đã từng ăn cơm xèo gà phi lê như mình thì thấy gà miếng không được ngon như gà phi lê một phần vậy 1 người ăn là quá nhiều rồi mình ăn không hết luôn mà,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['neutral', 'positive']",chất lượng đồ ăn tạm và lựa chọn đồ ăn tốt
cơm gà ngon với thịt gà chất lượng gà dai mềm vừa miệng chứ không hề bị bở tiệm dễ thương và mát cực kỳ mấy anh chị nhân viên dễ thương và nhiệt tình lắm,"['FOOD#QUALITY', 'AMBIENCE#GENERAL', 'SERVICE#GENERAL']","['positive', 'positive', 'positive']",chất lượng đồ ăn tốt và không gian tốt và phục vụ tốt
cơm gà xốt teriyaki phải nói là rất ngon luôn gà mọng nước thơm béo cơm trộn xốt nóng hổi vừa thổi vừa ăn phục vụ rất thân thiện nữa trời vui ơi phải nói là hết sảy con bà bảy luôn á,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'SERVICE#GENERAL', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và phục vụ tốt và nhà hàng nói chung tốt
cơm là thứ mình thích nhất trong cả bữa cơm xem ti vi nhiều mà ăn ngoài thì đây là lần ưng nhất hải sản đi kèm cũng đậm vị chứ không bị nhạt hơn cơm ăn với gia và rau nữa hết sảy luôn cơm đựng trong nồi đất mang ra phải đảo liên tục cho thấm đều màu cũng sẽ đẹp lắm nói chung là 5 sao,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và nhà hàng nói chung tốt
cơm mềm hạt sen rất thơm,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['positive', 'positive']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt
cơm ngon gọi một phần cơm thôi mà ăn no cả bụng có canh đi kèm nữa ở đây có phục vụ mì quảng với bún thịt nướng cũng hút khách lắm quán khá đông khách buổi trưa hơi nóng một xíu phục vụ thân thiện với khách khá hài lòng một phần cơm giá 20k trung bình 2 bạn chi khoảng 50k nhé credit phúc trần,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'RESTAURANT#GENERAL', 'AMBIENCE#GENERAL', 'SERVICE#GENERAL', 'FOOD#PRICES', 'RESTAURANT#PRICES']","['positive', 'positive', 'positive', 'negative', 'positive', 'neutral', 'neutral']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và nhà hàng nói chung tốt và không gian tệ và phục vụ tốt và giá tiền món ăn tạm và giá cả nhà hàng tạm
cơm ở đây xài cơm ấn độ luôn hạt cơm dài và ốm nhìn lạ lạ ăn bùi bùi ngon lắm mình thấy đỡ ngán hơn cơm việt nam nữa cơm việt nam thì ngọt hơn cà ri ở đây làm ngon đúng vị ấn nhiều gia vị nên rất thơm và đặc biệt mà chắc cũng vì vậy mà không phải ai cũng ăn được quán này nhiều khách tây lắm nằm ngay khu phố tây nữa chủ quán khá dễ thương biết nói tiếng anh 2 người ăn tầm 200k trở xuống hà giá ở đây khá rẻ,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'RESTAURANT#GENERAL', 'LOCATION#GENERAL', 'SERVICE#GENERAL', 'FOOD#PRICES']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt và nhà hàng nói chung tốt và địa chỉ tốt và phục vụ tốt và giá tiền món ăn tốt
cơm rang dưa bò ngon nhưng hơi mắc,"['FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'negative']",chất lượng đồ ăn tốt và giá tiền món ăn tệ
cơm rang hải sản rưới thêm chút xì dầu cay cay khiến ngon hơn hẳn mình thích rang cơm kĩ hơn chút đi ăn vào buổi trưa mùa đông hơi nóng như mùa hè mà xíu đã thấy cơm nguội rồi điểm cộng của quán là không gian rộng thoáng đãng giá cả cũng bình thường dịch vụ tốt,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'AMBIENCE#GENERAL', 'RESTAURANT#PRICES', 'SERVICE#GENERAL']","['neutral', 'neutral', 'positive', 'neutral', 'positive']",chất lượng đồ ăn tạm và lựa chọn đồ ăn tạm và không gian tốt và giá cả nhà hàng tạm và phục vụ tốt
cơm tấm cá lâu ngày ăn lại vẫn thấy ngon kinh khủng mình gọi cơm tấm sườn bì sườn ngon có điều hơi mỡ không biết gọi ít mỡ được không không hảo mỡ lắm bì thì thôi rồi bao chất lượng thịt nhiều lắm ăn rất ngon cơm cháy đã đã nè đồ chua khỏi chê nước mắm tuyệt vời 2 người tầm 150k xứng đáng vincent nguyen,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'neutral', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tạm và giá tiền món ăn tốt
cơm tấm kìa món ăn yêu thích vào mỗi sáng của mình ngon lắm luôn ý xxxxxxxxxxxxxxxxxx,['FOOD#QUALITY'],['positive'],chất lượng đồ ăn tốt
cơm tấm ở đây mắc mà mình thấy nó ăn rất bình thường chứ không gọi là ngon nữa 2 người ăn cũng hết 120k xót tiền ngon nhất là sườn mềm ướp ngon không bị khô còn chả với bì tạm thôi quán này nổi tiếng lắm thấy xe hơi vô ăn nữa được cái mát mẻ phục vụ thì hơi bị chảnh,"['FOOD#PRICES', 'FOOD#QUALITY', 'RESTAURANT#GENERAL', 'AMBIENCE#GENERAL', 'SERVICE#GENERAL']","['negative', 'neutral', 'positive', 'positive', 'negative']",giá tiền món ăn tệ và chất lượng đồ ăn tạm và nhà hàng nói chung tốt và không gian tốt và phục vụ tệ
cơm tấm sườn ướp vị ngon thịt mềm cơm làm dạng cơm cháy ăn lạ lạ miệng chả trưng ngon được cái sợi bánh canh dai dai rất ngon nước ngọt nói chung hợp khẩu vị mặc dù có giá có hơi cao chút nhưng mình vẫn thích vì chất lượng khá tốt đóng hết 200k,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'RESTAURANT#GENERAL']","['positive', 'positive', 'negative', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và giá tiền món ăn tệ và nhà hàng nói chung tốt
cơm tấm tú mập khá nổi tiếng vì sườn khá to đối với những bạn sinh viên thì cơm tấm tú mập sẽ vừa túi tiền hơn là cơm tấm cali vì đây cũng gần công ty mình nên mình cũng hay ra đây ăn vì quán nhìn khá ok bàn ghế sạch sẽ,"['RESTAURANT#GENERAL', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'LOCATION#GENERAL', 'AMBIENCE#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive']",nhà hàng nói chung tốt và lựa chọn đồ ăn tốt và giá tiền món ăn tốt và địa chỉ tốt và không gian tốt
cơm tấm với chả xíu mại patê chiên món nào cũng hấp dẫn xíu mại thì viên to tròn mềm và hơi có tí mỡ chả được hấp xong rồi nướng vàng lớp ngoài pa tê là loại pa tê hộp cắt mỏng đem chiên ăn hơi ngấy dầu nhưng nhìn chung thì món này lạ lạ dĩa cơm ú hụ vậy mà chỉ 32k thôi á,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và giá tiền món ăn tốt
cơm thì ngon dẻo loại gạo gì không biết mà dẻo ơi là dẻo ngon ơi là ngon thịt gà cũng ngon nữa nấm đông cô mộc nhĩ kết hợp với gia vị cho ra mùi vị rất độc đáo,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['positive', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt
cơm thơm ngon có thể ăn bao nhiêu thích có trà đá miễn phí tự phục vụ,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'DRINKS#PRICES']","['positive', 'positive', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và giá tiền đồ uống tốt
cơm trộn ngon nhưng thịt thì chả cay,['FOOD#QUALITY'],['neutral'],chất lượng đồ ăn tạm
cơm trộn ngon quá trời 1 phần là 2 người ăn no nê giá lại hạt dẻ nữa chứ,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và giá tiền món ăn tốt
cơm trộn nhiều 1 bát tô to ăn quá no đồ ăn rẻ 30 suất mỳ đen cũng vậy đủ vị rau củ quả thịt rất hấp dẫn 25 suất rẻ hơn rất nhiều các quán khác lại còn bán nguyên liệu về để tự làm nữa chứ,"['FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive']",lựa chọn đồ ăn tốt và giá tiền món ăn tốt và nhà hàng nói chung tốt
cơm trộn và trứng cuộn rất ngon mì tương đen hơi kì và ngọt khó ăn phục vụ rất dễ thương,"['FOOD#QUALITY', 'AMBIENCE#GENERAL']","['neutral', 'positive']",chất lượng đồ ăn tạm và không gian tốt
cơm trộn vừa miệng không cay quá riêng mì tương đen thì sốt hơi lỏng không đậm đà lắm,['FOOD#QUALITY'],['neutral'],chất lượng đồ ăn tạm
cơm út hương thì nổi tiếng xưa giờ rồi cơm thì ngập mặt đồ ăn cũng khá nhiều xà lách dấm ở đây làm ngon dù chỉ là món ăn kèm giá cũng không quá đắt đỏ,"['RESTAURANT#GENERAL', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'positive', 'positive', 'neutral']",nhà hàng nói chung tốt và lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt và giá tiền món ăn tạm
combo 55k no căng diều 3 quán sạch sẽ mát mẻ,"['RESTAURANT#PRICES', 'AMBIENCE#GENERAL']","['neutral', 'positive']",giá cả nhà hàng tạm và không gian tốt
combo cơm pasi giá 59k ăn no nê chảo giữ nóng cực lâu luôn nhé nên các bạn ăn từ từ thôi nè ngoài ra còn có cơm xèo hải sản miến xèo hải sản ngon cực luôn,"['RESTAURANT#PRICES', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['neutral', 'positive', 'positive']",giá cả nhà hàng tạm và lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt
combo này nhìn ngon lắm luôn gà tận 4 miếng bự cộng với sốt cay siêu thích luôn á,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['positive', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt
combo tới đĩa thịt đầy ú ụ to vượt mặt 1kg thịt nướng chỉ 199k,"['FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive']",lựa chọn đồ ăn tốt và giá tiền món ăn tốt
con đường hồ thị kỷ tràn ngập đồ ăn đây là 1 biến tấu khác của hủ tiếu hủ tiếu ốc chú tủn với nước dùng ngọt thanh thơm mùi rau răm và ốc hủ tiếu hơi ít vừa đủ no nên mình nghĩ món này ăn dặm thì được chứ hổng để ăn chính trừ cơm đâu nha giá 25 30k tô mà bạn nên như tui gọi tô 30k cho oách muốn thêm ốc thì 5k kế bên có quán trà đào dầm 10kly uống siêu ngon mà lúc mình ăn mình có đổ nửa chén nước chấm vào chung tại mình thích ăn đậm 1 tí,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'DRINKS#PRICES', 'DRINKS#QUALITY']","['positive', 'neutral', 'neutral', 'neutral', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tạm và giá tiền món ăn tạm và giá tiền đồ uống tạm và chất lượng đồ uống tốt
còn gì bằng đi bộ rồi được thưởng thức tô phở có dịp anh em gặp mặt anh mời tụi em ăn rồi góp ý giúp nói thật không phải nịnh phở có vị thơm lạ đồ ăn khỏi chê nước dùng nếu thêm tương đen là hết ý như đã nói bản thân em cho 9 5 3 không gian quán bố trí ấm cúng nằm ngay khu phố bùi viện nhộn nhịp lại có ông chủ siêu nhiệt tình thân thiện cảm ơn anh nhiều em sẽ ghé dài dài,"['FOOD#QUALITY', 'AMBIENCE#GENERAL', 'LOCATION#GENERAL', 'SERVICE#GENERAL', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive']",chất lượng đồ ăn tốt và không gian tốt và địa chỉ tốt và phục vụ tốt và nhà hàng nói chung tốt
con hàu mập ú né dọn ra có trứng pate vị đậm đà vừa ăn chấm bánh mì ngon lắm hàu tái sơ mập ngọt thịt ai ghiền hàu đến đây ăn là dạ nè có gọi thêm mì gói xào hàu nữa 36k đĩa bình thường thôi kết bạn hàu né này nhất định còn quay lại ăn địa chỉ là 220118 lê văn sỹ nên mấy bạn xuống cầu lê văn sỹ thì quẹo liền ngay chỗ ngã tư có đèn giao thông nhà chạy vào đường nhỏ cạnh đh sư phạm á chạy thẳng vô hẻm khu phố văn hóa đó là hẻm 220 á hơi lạ xíu coi chừng đi lố,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'RESTAURANT#GENERAL', 'LOCATION#GENERAL']","['positive', 'positive', 'neutral', 'positive', 'neutral']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt và giá tiền món ăn tạm và nhà hàng nói chung tốt và địa chỉ tạm
con này là cua huỳnh đế bề ngoài nhìn ngộ ngộ thịt cua chắc con này rất tươi nha ăn thịt có vẻ ngon hơn cua bình thường mở ra trúng 1 con cua gạch ta nói nó béo ngậy ăn đã kinh khủng mấy món nướng ở đây ướp ngon giá rẻ mấy loại hải sản đều tươi cả 2 người tầm 400k nha,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'positive', 'positive']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt và giá tiền món ăn tốt
con này là cua huỳnh đế hơi bị hiếm mình cũng mới được ăn lần đầu luôn cua không quá to bề ngoài nhìn hơi lạ thịt cua thì ngon cũng như cua cà mau nhưng giá cả thì chênh lệch lắm nói chung là thử cho biết vẫn trung thành với cua và ghẹ thường thôi 2 người cũng hết 600k quan trọng là tươi,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'positive', 'negative']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt và giá tiền món ăn tệ
con nghiện chè hoa lại phát hiện ra thêm tiệm chè mới nghe theo lời giới thiệu của thằng em nên bắt nó dẫn đi luôn chè ở đây thì mình thấy khá giống với tường phong nhưng không nhiều loại lắm được cái bát chè đầy đặn hơn bạch quả mềm với bùi hơn tiệm này mở tầm tối muộn không có biển hiệu gì hết cạnh đó là mấy cái xe bán đồ ăn vặt linh tinh ai đi qua khúc này thấy chỗ nào đông người nhất thì chính là cái tiệm chè này mà nghe nói còn có tên khác là chè cột điện vì ở gần cái cột điện,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'RESTAURANT#GENERAL']","['neutral', 'positive', 'positive']",lựa chọn đồ ăn tạm và chất lượng đồ ăn tốt và nhà hàng nói chung tốt
cọng mì siêu dai ngon thấm gia vị phục vụ tận tình hết nước sẽ đem thêm bình mới,"['FOOD#QUALITY', 'SERVICE#GENERAL']","['positive', 'positive']",chất lượng đồ ăn tốt và phục vụ tốt
